Inner_Disk,,All_Disk,
X,Y,X,Y
0.5433572358763823,-0.2833101968663101,0.36222471094138897,-0.4789321603133858
0.5623699542238874,-0.6793216179646853,0.3719001050274455,0.6259103902761718
0.5846368066486949,0.4644269272972621,0.37024029871450126,0.23131888649433707
0.5882962764797972,0.055343363071976626,0.39735400194201653,-0.9155303431409629
0.59283514071463,-0.1326104785761213,0.399351505063116,0.7876509593323754
0.6229608822305459,0.6268293707821734,0.40079414620613174,-0.3353032633268622
0.6394571700832903,0.34136345084145525,0.41080777296353466,0.47176609998057173
0.6389147960474248,-0.5662118050457456,0.43397489249549226,-0.18566926354536983
0.64209709268643,-0.3986447585614685,0.4430126149502669,0.0880153528774037
0.6573960990790502,0.1968976306542034,0.445134146042937,-0.7454600103914697
0.6882616092629312,-0.26357107651572353,0.4496557744847922,0.8933250315063834
0.7055733029791194,-0.01826674042533849,0.4685982799278685,-0.050019749724764306
0.7122164625136458,0.5213377049467854,0.48253007153756267,0.34961690336321605
0.7405579935854592,-0.4821403659161776,0.48276630786972397,-0.5769844020449406
0.7459672549835583,-0.14330449725209404,0.49185026070353266,-0.8681944401187851
0.7542412262449727,0.10520804444108312,0.5000780015859121,0.5753372411321604
0.7758808433902071,0.4114682869845112,0.5098800110972406,0.7150607198984781
0.7780666633038666,0.28700636193261553,0.5149325189917835,-0.4430660669078157
0.7974355992917359,-0.3533185717117697,0.5207030835638462,0.21420477325387977
0.8518462041495756,-0.22654391822533415,0.5433572358763823,-0.2833101968663101
0.8582811110295143,0.19462649290863776,0.5479435427937305,0.8365966601954804
0.8667672354001947,-0.0779887216465387,0.5623699542238874,-0.6793216179646853
0.8768657234013046,0.05066854919362285,0.5794934773562035,-0.812782255721848
,,0.5846368066486949,0.4644269272972621
,,0.5882962764797972,0.055343363071976626
,,0.59283514071463,-0.1326104785761213
,,0.6229608822305459,0.6268293707821734
,,0.6389996572911316,0.7679904173050105
,,0.6394571700832903,0.34136345084145525
,,0.6389147960474248,-0.5662118050457456
,,0.64209709268643,-0.3986447585614685
,,0.6573960990790502,0.1968976306542034
,,0.6647974753780002,-0.7450487019808554
,,0.6882616092629312,-0.26357107651572353
,,0.7055733029791194,-0.01826674042533849
,,0.7122164625136458,0.5213377049467854
,,0.722587982342334,0.692391931434097
,,0.7405579935854592,-0.4821403659161776
,,0.7395564313265144,-0.6720789065789727
,,0.7459672549835583,-0.14330449725209404
,,0.7542412262449727,0.10520804444108312
,,0.7758808433902071,0.4114682869845112
,,0.7780666633038666,0.28700636193261553
,,0.7941405584289485,0.6069314450435395
,,0.7974355992917359,-0.3533185717117697
,,0.806261168637243,-0.5885869825831651
,,0.8518462041495756,-0.22654391822533415
,,0.8556079818527498,0.5159406232805505
,,0.8582811110295143,0.19462649290863776
,,0.8640516756015768,-0.49900401075136447
,,0.8667672354001947,-0.0779887216465387
,,0.8768657234013046,0.05066854919362285
,,0.9075430630013139,0.4188718383755692
,,0.912549876380016,-0.4042385529458228
,,0.9457691774171173,0.32196757683483357
,,-0.25842696629213513,0.9686861810755617
,,-0.13904494382022436,0.9904697072838667
,,-0.01123595505617958,1.0000000000000002
,,0.1081460674157313,0.9945541184479239
,,0.22331460674157322,0.975493533015657
,,0.974719101123596,0.2185159972770594
,,0.992977528089888,0.11640571817562939
,,1,0.006126616746085611
,,0.9929775280898876,-0.09870660313138213
,,0.9789325842696637,-0.20353982300884965
,,0.9508426966292141,-0.3070115724982978
,,0.2977528089887642,-0.9537100068073523
,,0.19241573033707904,-0.9795779441797143
,,0.08848314606741603,-0.9945541184479239
,,-0.019662921348313933,-0.9986385296119811
,,-0.12359550561797739,-0.9918311776718856
,,-0.22752808988764017,-0.9727705922396188
,,-0.3314606741573033,-0.9428182437031993
,,-0.9480337078651685,-0.32471068754254606
,,-0.9789325842696628,-0.21579305650102065
,,-0.9971910112359549,-0.09734513274336232
,,-1.0014044943820224,0.012933968686180908
,,-0.9929775280898875,0.13138189244383947
,,-0.9719101123595505,0.24302246426140217
